iter	MultiClass
0	1.097744499
1	1.096995783
2	1.096144201
3	1.095292676
4	1.094419842
5	1.093593711
6	1.09271092
7	1.091980972
8	1.091314437
9	1.090567092
10	1.089920235
11	1.089408491
12	1.088729929
13	1.088029033
14	1.087424775
15	1.086870388
16	1.086320836
17	1.085827784
18	1.08524343
19	1.084604917
20	1.08394918
21	1.083359589
22	1.082713583
23	1.082230539
24	1.081649477
25	1.08117102
26	1.080607859
27	1.080043036
28	1.079557002
29	1.078992368
30	1.0785374
31	1.078074561
32	1.077626648
33	1.077130912
34	1.076700093
35	1.076260051
36	1.075824418
37	1.07547198
38	1.074992305
39	1.074596475
40	1.07429589
41	1.073923172
42	1.07354028
43	1.073241303
44	1.072912365
45	1.072493194
46	1.072147679
47	1.07171524
48	1.071392227
49	1.07106988
50	1.070703847
51	1.070322266
52	1.070038856
53	1.069702177
54	1.069418471
55	1.069109806
56	1.068804633
57	1.068476237
58	1.068179217
59	1.06792721
60	1.067725549
61	1.067353345
62	1.067037473
63	1.066778517
64	1.066531459
65	1.066175199
66	1.065835322
67	1.065498369
68	1.06518609
69	1.064913721
70	1.064638441
71	1.0643734
72	1.064082231
73	1.063827756
74	1.063564534
75	1.06326535
76	1.063025195
77	1.062752976
78	1.062467086
79	1.062226244
80	1.061899138
81	1.061684317
82	1.061388015
83	1.061135001
84	1.06092001
85	1.060687002
86	1.060429956
87	1.060165317
88	1.059876391
89	1.059636339
90	1.059423572
91	1.059186646
92	1.058957595
93	1.058731528
94	1.058511928
95	1.058286084
96	1.058110074
97	1.057928427
98	1.057790208
99	1.057596249
100	1.057358334
101	1.057135269
102	1.056947085
103	1.056711839
104	1.05655429
105	1.056380634
106	1.056181896
107	1.055968098
108	1.055788971
109	1.055631435
110	1.055374673
111	1.055162666
112	1.05503127
113	1.054844925
114	1.054630811
115	1.054472836
116	1.054254724
117	1.054016182
118	1.05383831
119	1.053667292
120	1.053480979
121	1.053292876
122	1.053104141
123	1.052927466
124	1.052759572
125	1.052527068
126	1.052344005
127	1.052135316
128	1.051921716
129	1.051741558
130	1.051558699
131	1.051416366
132	1.051245772
133	1.051061448
134	1.050861808
135	1.050688575
136	1.050477256
137	1.050297385
138	1.050119959
139	1.049959355
140	1.049827056
141	1.049646091
142	1.049485958
143	1.049256269
144	1.049087579
145	1.048952282
146	1.048783994
147	1.048652209
148	1.048511078
149	1.048367516
150	1.048207559
151	1.048005112
152	1.047816748
153	1.047667186
154	1.047547906
155	1.047409896
156	1.047248749
157	1.047131387
158	1.047015412
159	1.046871829
160	1.046698733
161	1.046542383
162	1.046426222
163	1.046253039
164	1.046112651
165	1.045967611
166	1.045848072
167	1.045681522
168	1.04557585
169	1.04538985
170	1.045224301
171	1.045093206
172	1.044920711
173	1.044777264
174	1.044639815
175	1.044404375
176	1.044204519
177	1.044107368
178	1.043940317
179	1.043850985
180	1.043656179
181	1.043529631
182	1.043383879
183	1.043239636
184	1.043114675
185	1.043019211
186	1.042891512
187	1.042742682
188	1.042563567
189	1.042446109
190	1.042322275
191	1.042212979
192	1.042105692
193	1.041995216
194	1.041871375
195	1.041723264
196	1.041610732
197	1.041503747
198	1.041361205
199	1.041239895
200	1.041094159
201	1.041021971
202	1.040910899
203	1.040770847
204	1.040590838
205	1.040468438
206	1.040338086
207	1.040225275
208	1.040051706
209	1.039927007
210	1.039809978
211	1.039624347
212	1.039492833
213	1.039386678
214	1.039252018
215	1.039096214
216	1.038980153
217	1.038827319
218	1.038702862
219	1.038568654
220	1.038442785
221	1.038295641
222	1.038198877
223	1.038107873
224	1.037959357
225	1.037752781
226	1.037644823
227	1.037519702
228	1.037388742
229	1.037246799
230	1.037048507
231	1.036906746
232	1.036747496
233	1.036588248
234	1.036465966
235	1.036336203
236	1.036198656
237	1.036115019
238	1.036020953
239	1.03588191
240	1.035742803
241	1.035618311
242	1.035493034
243	1.035337989
244	1.035228665
245	1.035068256
246	1.034960729
247	1.034808817
248	1.034667179
249	1.034539762
250	1.034453548
251	1.034282456
252	1.03409424
253	1.033985922
254	1.03387475
255	1.033756205
256	1.033628355
257	1.033514954
258	1.03339053
259	1.033249727
260	1.033111958
261	1.033034628
262	1.032925672
263	1.032823811
264	1.032718668
265	1.032631003
266	1.032482573
267	1.03236239
268	1.03224663
269	1.032113533
270	1.032017525
271	1.031912224
272	1.031786359
273	1.031680744
274	1.031609544
275	1.031535124
276	1.031416362
277	1.031295923
278	1.031216508
279	1.031064398
280	1.030947181
281	1.030847521
282	1.0307274
283	1.030630552
284	1.03049418
285	1.030418219
286	1.030302258
287	1.030103406
288	1.02997296
289	1.029902559
290	1.029810383
291	1.029673277
292	1.029562948
293	1.029459281
294	1.029320958
295	1.029230462
296	1.029115243
297	1.028980467
298	1.028877006
299	1.028756735
300	1.028655293
301	1.028511965
302	1.028417251
303	1.028333557
304	1.028247293
305	1.028154961
306	1.027975822
307	1.027887317
308	1.027828411
309	1.027721852
310	1.027599234
311	1.027470904
312	1.027312137
313	1.027209488
314	1.027095143
315	1.026985789
316	1.026797262
317	1.026742667
318	1.026611786
319	1.026505398
320	1.026417384
321	1.026301892
322	1.026176205
323	1.026107461
324	1.026008631
325	1.025886711
326	1.025729192
327	1.025641655
328	1.025552558
329	1.025452958
330	1.02536273
331	1.025252599
332	1.025152215
333	1.025044698
334	1.024931749
335	1.024867119
336	1.024728454
337	1.024602214
338	1.024505568
339	1.024421348
340	1.024303822
341	1.024194614
342	1.024106835
343	1.023961878
344	1.023837514
345	1.023663645
346	1.023574242
347	1.023493483
348	1.023402931
349	1.023263625
350	1.023164091
351	1.023078219
352	1.022891167
353	1.022806109
354	1.02267847
