iter	Passed	Remaining
0	133	81219
1	244	74507
2	365	74062
3	473	71866
4	594	72020
5	711	71702
6	828	71482
7	968	72989
8	1078	72150
9	1265	76070
10	1401	76424
11	1531	76457
12	1657	76231
13	1769	75444
14	1880	74704
15	1994	74155
16	2121	74117
17	2248	74071
18	2369	73822
19	2502	73953
20	2639	74170
21	2764	74015
22	2902	74192
23	3028	74064
24	3155	73975
25	3296	74174
26	3444	74503
27	3575	74445
28	3706	74378
29	3832	74228
30	3940	73718
31	4062	73514
32	4193	73458
33	4335	73572
34	4460	73413
35	4594	73379
36	4713	73125
37	4836	72935
38	4960	72758
39	5085	72601
40	5190	72153
41	5299	71791
42	5418	71575
43	5527	71228
44	5632	70840
45	5745	70566
46	5852	70232
47	5976	70094
48	6123	70235
49	6274	70402
50	6416	70453
51	6537	70274
52	6640	69918
53	6771	69846
54	6884	69600
55	7007	69450
56	7122	69221
57	7243	69067
58	7356	68830
59	7478	68675
60	7613	68648
61	7756	68681
62	7906	68777
63	8014	68497
64	8129	68289
65	8255	68173
66	8415	68328
67	8529	68109
68	8672	68122
69	8790	67941
70	8898	67681
71	9002	67394
72	9141	67370
73	9271	67284
74	9397	67158
75	9518	67002
76	9640	66854
77	9748	66615
78	9871	66479
79	10018	66496
80	10146	66389
81	10303	66470
82	10432	66366
83	10539	66121
84	10661	65976
85	10799	65925
86	10933	65849
87	11086	65891
88	11219	65804
89	11349	65703
90	11469	65540
91	11591	65388
92	11712	65237
93	11828	65057
94	11957	64945
95	12102	64925
96	12296	65156
97	12556	65727
98	12688	65623
99	12820	65510
100	12962	65454
101	13085	65301
102	13218	65196
103	13374	65198
104	13508	65099
105	13626	64920
106	13758	64808
107	13942	64935
108	14138	65117
109	14338	65307
110	14802	66679
111	15253	67960
112	15538	68479
113	15855	69122
114	16086	69383
115	16201	69135
116	16348	69028
117	16475	68835
118	16588	68585
119	16699	68329
120	16810	68075
121	16922	67829
122	17045	67628
123	17165	67415
124	17281	67189
125	17403	66991
126	17527	66797
127	17672	66685
128	17785	66453
129	17903	66242
130	18025	66046
131	18145	65846
132	18270	65663
133	18427	65595
134	18582	65519
135	18699	65310
136	18823	65128
137	18943	64930
138	19073	64767
139	19191	64566
140	19306	64355
141	19472	64313
142	19606	64166
143	19739	64014
144	19864	63841
145	19977	63628
146	20080	63383
147	20188	63156
148	20296	62933
149	20417	62751
150	20523	62521
151	20641	62331
152	20756	62134
153	20869	61930
154	20978	61716
155	21089	61511
156	21199	61303
157	21312	61105
158	21432	60928
159	21545	60730
160	21660	60542
161	21773	60346
162	21881	60141
163	21991	59939
164	22098	59732
165	22210	59540
166	22319	59341
167	22427	59138
168	22528	58920
169	22636	58722
170	22750	58539
171	22854	58331
172	22972	58161
173	23089	57988
174	23202	57808
175	23327	57655
176	23450	57500
177	23550	57289
178	23664	57111
179	23841	57088
180	23968	56940
181	24118	56851
182	24253	56724
183	24391	56603
184	24624	56701
185	24768	56594
186	25001	56688
187	25144	56575
188	25269	56421
189	25379	56235
190	25483	56037
191	25586	55836
192	25693	55647
193	25809	55477
194	25947	55354
195	26097	55257
196	26247	55158
197	26365	54994
198	26480	54823
199	26582	54626
200	26681	54425
201	26793	54250
202	26911	54089
203	27022	53913
204	27130	53731
205	27245	53564
206	27355	53389
207	27461	53207
208	27584	53057
209	27678	52852
210	27794	52690
211	27948	52601
212	28100	52507
213	28199	52313
214	28321	52164
215	28462	52048
216	28593	51916
217	28751	51832
218	28871	51678
219	29024	51584
220	29181	51495
221	29298	51337
222	29432	51209
223	29547	51047
224	29663	50889
225	29792	50752
226	29906	50590
227	30031	50448
228	30168	50324
229	30287	50171
230	30404	50016
231	30532	49878
232	30679	49771
233	30800	49623
234	30930	49489
235	31065	49362
236	31281	49364
237	31454	49296
238	31598	49183
239	31725	49043
240	31850	48899
241	31983	48767
242	32121	48644
243	32247	48503
244	32382	48375
245	32554	48302
246	32686	48169
247	32818	48036
248	32949	47902
249	33094	47788
250	33362	47850
251	33499	47723
252	33656	47624
253	33816	47528
254	33943	47388
255	34063	47236
256	34193	47099
257	34311	46945
258	34442	46809
259	34560	46657
260	34686	46514
261	34800	46356
262	34914	46198
263	35036	46051
264	35145	45888
265	35260	45733
266	35386	45592
267	35494	45427
268	35600	45261
269	35718	45111
270	35900	45041
271	36006	44875
272	36116	44715
273	36224	44553
274	36325	44383
275	36443	44234
276	36592	44122
277	36723	43989
278	36839	43837
279	36960	43692
280	37083	43549
281	37198	43397
282	37311	43244
283	37419	43085
284	37541	42942
285	37650	42784
286	37758	42626
287	37869	42471
288	37980	42317
289	38083	42154
290	38188	41994
291	38294	41835
292	38401	41677
293	38511	41524
294	38615	41364
295	38718	41203
296	38822	41044
297	38929	40888
298	39033	40730
299	39131	40566
300	39243	40416
301	39350	40262
302	39458	40109
303	39558	39949
304	39662	39792
305	39763	39633
306	39879	39489
307	39987	39338
308	40081	39173
309	40270	39101
310	40401	38972
311	40510	38822
312	40623	38676
313	40724	38519
314	40827	38364
315	40926	38207
316	41040	38062
317	41132	37899
318	41247	37756
319	41354	37606
320	41458	37454
321	41562	37302
322	41654	37140
323	41749	36981
324	41915	36885
325	42039	36752
326	42154	36611
327	42256	36459
328	42357	36306
329	42471	36165
330	42571	36011
331	42746	35922
332	42846	35769
333	42950	35620
334	43051	35469
335	43143	35311
336	43252	35166
337	43370	35030
338	43476	34883
339	43581	34737
340	43686	34590
341	43801	34451
342	43907	34306
343	44010	34159
