iter	MultiClass
0	1.096709775
1	1.094658945
2	1.092953263
3	1.091054629
4	1.089334683
5	1.087635751
6	1.08579089
7	1.08405478
8	1.082395345
9	1.080771829
10	1.079349231
11	1.077640971
12	1.076191404
13	1.07479307
14	1.073543027
15	1.072188242
16	1.070738245
17	1.069227672
18	1.067733679
19	1.066550077
20	1.065234099
21	1.063933711
22	1.062423711
23	1.061329721
24	1.060191267
25	1.05885932
26	1.057515797
27	1.056301442
28	1.055015573
29	1.053798201
30	1.05261783
31	1.051393871
32	1.050277905
33	1.049256147
34	1.048338418
35	1.047200732
36	1.046077084
37	1.044989296
38	1.043602227
39	1.042602769
40	1.041699393
41	1.040564062
42	1.039697383
43	1.038843896
44	1.038053121
45	1.03708053
46	1.036254636
47	1.035406369
48	1.034690124
49	1.033562429
50	1.032469596
51	1.031735536
52	1.030867052
53	1.030101653
54	1.029207652
55	1.028247687
56	1.027326786
57	1.026306612
58	1.025333101
59	1.024689489
60	1.023998867
61	1.023114643
62	1.02233024
63	1.021614347
64	1.020939259
65	1.020266302
66	1.019529934
67	1.019001009
68	1.018047738
69	1.017454792
70	1.016760377
71	1.016160736
72	1.015243874
73	1.014669398
74	1.014120621
75	1.013185343
76	1.012505173
77	1.011838043
78	1.011018165
79	1.010275705
80	1.009496966
81	1.00882078
82	1.008322701
83	1.007748251
84	1.007240008
85	1.006771403
86	1.006136379
87	1.005589933
88	1.005035888
89	1.004330192
90	1.003796066
91	1.003218259
92	1.002595827
93	1.002209637
94	1.001520865
95	1.00092448
96	1.000442606
97	0.999703354
98	0.9991787916
99	0.9986158766
100	0.9980020703
101	0.9975152056
102	0.9970672193
103	0.9964419991
104	0.9958068914
105	0.9952267389
106	0.994788986
107	0.9943049326
108	0.9936564374
109	0.9929612681
110	0.9925662983
111	0.9921018647
112	0.9916384933
113	0.9909524818
114	0.9904617547
115	0.989888901
116	0.9893307535
117	0.9889305823
118	0.9884513587
119	0.9880900217
120	0.9875068657
121	0.9870669744
122	0.9867584087
123	0.986144958
124	0.9856512849
125	0.9851995669
