iter	Passed	Remaining
0	326	269149
1	639	263384
2	959	263258
3	1381	283923
4	1696	278495
5	2024	276721
6	2349	274882
7	2666	272667
8	2993	271711
9	3315	270548
10	3648	270337
11	3978	269897
12	4308	269454
13	4650	269721
14	4981	269334
15	5299	268293
16	5617	267348
17	5954	267278
18	6277	266613
19	6577	265062
20	6910	264895
21	7246	264841
22	7557	263856
23	7875	263168
24	8186	262309
25	8502	261628
26	8815	260864
27	9142	260555
28	9468	260222
29	9778	259457
30	10087	258701
31	10408	258269
32	10720	257624
33	11049	257392
34	11365	256868
35	11708	256934
36	12077	257550
37	12407	257297
38	12721	256713
39	13031	256067
40	13341	255449
41	13654	254880
42	13963	254266
43	14272	253659
44	14593	253274
45	14917	252947
46	15230	252432
47	15555	252134
48	15858	251471
49	16186	251216
50	16501	250752
51	16818	250335
52	17129	249836
53	17439	249322
54	17755	248902
55	18080	248606
56	18403	248289
57	18726	247969
58	19044	247582
59	19389	247542
60	19821	248575
61	20203	248956
62	20650	250095
63	21025	250328
64	21504	251766
65	21894	252121
66	22267	252253
67	22581	251721
68	22916	251414
69	23235	250947
70	23572	250660
71	23901	250299
72	24216	249791
73	24540	249379
74	24861	248947
75	25194	248625
76	25541	248445
77	25873	248120
78	26228	248008
79	26554	247625
80	26893	247352
81	27226	247031
82	27569	246793
83	27933	246744
84	28272	246467
85	28566	245805
86	28880	245317
87	29182	244737
88	29492	244224
89	29846	244078
90	30200	243927
91	30589	244051
92	30943	243886
93	31264	243464
94	31573	242947
95	31892	242516
96	32209	242071
97	32524	241608
98	32826	241061
99	33153	240693
100	33474	240286
101	33781	239779
102	34105	239402
103	34425	238991
104	34738	238536
105	35059	238141
106	35368	237660
107	35690	237278
108	36016	236912
109	36349	236601
110	36660	236143
111	36968	235672
112	37275	235200
113	37583	234731
114	37921	234454
115	38232	234011
116	38561	233675
117	38885	233314
118	39192	232849
119	39510	232452
120	39815	231981
121	40124	231539
122	40436	231113
123	40771	230818
124	41088	230427
125	41391	229953
126	41728	229670
127	42051	229309
128	42433	229270
129	42750	228881
130	43076	228537
131	43411	228238
132	43737	227893
133	44066	227569
134	44381	227165
135	44691	226744
136	45005	226343
137	45315	225918
138	45623	225489
139	45928	225051
140	46232	224602
141	46543	224197
142	46871	223870
143	47187	223483
144	47500	223086
145	47811	222685
146	48141	222367
147	48450	221956
148	48756	221533
149	49104	221297
150	49419	220913
151	49734	220534
152	50072	220251
153	50381	219847
154	50693	219452
155	51017	219112
156	51339	218767
157	51681	218500
158	52003	218152
159	52321	217787
160	52636	217413
161	52960	217072
162	53261	216640
163	53566	216225
164	53881	215854
165	54196	215478
166	54510	215102
167	54831	214758
168	55150	214400
169	55453	213985
170	55761	213589
171	56077	213225
172	56381	212814
173	56698	212456
174	57035	212170
175	57369	211876
176	57670	211456
177	57988	211102
178	58307	210753
179	58613	210357
180	58966	210128
181	59276	209746
182	59597	209405
183	59920	209069
184	60241	208727
185	60550	208345
186	60884	208050
187	61195	207674
188	61508	207305
189	61877	207126
190	62197	206783
191	62516	206433
192	62820	206039
193	63126	205648
194	63434	205268
195	63750	204913
196	64078	204595
197	64393	204237
198	64702	203860
199	65018	203507
200	65338	203168
201	65651	202803
202	65970	202459
203	66275	202074
204	66604	201761
205	66913	201388
206	67229	201037
207	67550	200702
208	67860	200335
209	68177	199988
210	68483	199609
211	68806	199279
212	69137	198974
213	69475	198685
214	69810	198392
215	70193	198232
216	70542	197974
217	70917	197787
218	71248	197478
219	71573	197153
220	71919	196883
221	72254	196584
222	72612	196347
223	73014	196227
224	73350	195926
225	73668	195580
226	74024	195333
227	74363	195041
228	74682	194695
229	75000	194349
230	75322	194013
231	75649	193687
232	75971	193351
233	76284	192992
234	76597	192635
235	76918	192297
236	77241	191962
237	77564	191629
238	77902	191333
239	78246	191052
240	78589	190767
241	78942	190506
242	79377	190441
243	79777	190289
244	80221	190240
245	80617	190072
246	80986	189843
247	81483	189908
248	81912	189813
249	82234	189468
250	82546	189100
251	82866	188751
252	83186	188403
253	83536	188122
254	83956	187996
255	84293	187685
256	84648	187412
257	85060	187265
258	85396	186948
259	85734	186637
260	86078	186339
261	86401	185993
262	86793	185797
263	87128	185477
264	87471	185175
265	87809	184861
266	88148	184550
267	88489	184243
268	88847	183969
269	89234	183757
270	89742	183790
271	90265	183850
272	90874	184079
273	91503	184342
274	91987	184309
275	92338	184007
276	92699	183725
277	93179	183677
278	93520	183353
279	93952	183207
280	94447	183181
281	94943	183153
282	95462	183167
283	95829	182885
284	96220	182650
285	96603	182398
286	96963	182101
287	97302	181765
288	97628	181406
289	97984	181102
290	98316	180753
291	98654	180416
292	99012	180114
293	99351	179779
294	99686	179434
295	100050	179144
296	100391	178812
297	100720	178458
298	101055	178115
299	101412	177809
300	101761	177491
301	102121	177190
302	102465	176862
303	102818	176549
304	103215	176312
305	103535	175943
306	103882	175619
307	104224	175287
308	104546	174921
309	104878	174572
310	105209	174221
311	105541	173873
312	105867	173514
313	106190	173151
314	106506	172776
315	106907	172540
316	107221	172163
317	107540	171794
318	107875	171450
319	108193	171080
320	108504	170699
321	108832	170346
322	109167	170003
323	109483	169631
324	109808	169274
325	110122	168900
326	110446	168541
327	110774	168188
328	111106	167841
329	111423	167473
330	111740	167104
331	112063	166744
332	112374	166368
333	112699	166011
334	113038	165677
335	113355	165310
336	113663	164929
337	113980	164563
338	114299	164199
339	114619	163839
340	114942	163481
